timestamp,distance_raw_m,angle_raw,x_m,y_m
2026-03-24T14:09:01.099140,2.19,0,0.02,2.17
2026-03-24T14:09:01.100063,2.14,2,0.02,2.17
2026-03-24T14:09:24.121697,2.2,24,0.34,2.17
2026-03-24T14:09:24.145707,2.21,14,0.2,2.2
2026-03-24T14:09:24.157670,2.21,15,0.21,2.2
2026-03-24T14:09:24.181626,2.19,10,0.15,2.19
2026-03-24T14:09:24.235582,2.22,22,0.32,2.2
2026-03-24T14:09:24.247596,2.18,30,0.41,2.14
2026-03-24T14:09:24.283488,2.23,21,0.3,2.21
2026-03-24T14:09:24.295852,2.19,12,0.17,2.18
2026-03-24T14:09:24.361994,2.19,26,0.36,2.16
2026-03-24T14:09:24.373606,2.21,17,0.24,2.2
2026-03-24T14:09:24.385629,2.21,17,0.25,2.19
2026-03-24T14:09:24.397703,2.21,22,0.31,2.19
2026-03-24T14:09:24.409695,2.2,18,0.26,2.18
2026-03-24T14:09:24.457643,2.19,24,0.34,2.16
2026-03-24T14:09:24.475732,2.22,12,0.17,2.21
2026-03-24T14:09:24.499865,2.19,36,0.51,2.13
2026-03-24T14:09:24.512066,2.31,16,0.24,2.29
2026-03-24T14:09:24.523740,2.15,-2,-0.01,2.15
2026-03-24T14:09:24.571700,2.24,18,0.27,2.19
2026-03-24T14:09:24.595713,2.21,27,0.27,2.19
2026-03-24T14:09:24.613891,2.17,21,0.28,2.19
2026-03-24T14:09:24.637713,2.25,30,0.28,2.19
2026-03-24T14:09:24.649848,2.18,32,0.28,2.19
2026-03-24T14:09:24.697763,2.15,26,0.28,2.19
2026-03-24T14:09:24.709681,2.18,16,0.27,2.19
2026-03-24T14:09:24.721603,2.17,26,0.28,2.18
2026-03-24T14:09:24.739691,2.19,21,0.28,2.18
2026-03-24T14:09:24.751628,2.23,15,0.28,2.18
2026-03-24T14:09:24.799753,2.25,19,0.27,2.19
2026-03-24T14:09:24.823924,2.18,22,0.28,2.19
2026-03-24T14:09:24.848262,2.19,17,0.28,2.18
2026-03-24T14:09:24.866038,2.2,19,0.28,2.18
2026-03-24T14:09:24.878109,2.23,19,0.28,2.18
2026-03-24T14:09:24.973841,2.21,17,0.27,2.18
2026-03-24T14:09:25.004024,2.15,16,0.27,2.18
2026-03-24T14:09:25.051989,2.2,13,0.26,2.19
2026-03-24T14:09:25.075949,2.19,25,0.27,2.18
2026-03-24T14:09:25.088092,2.18,10,0.27,2.18
2026-03-24T14:09:25.099927,2.15,10,0.26,2.18
2026-03-24T14:09:25.112097,2.15,22,0.27,2.17
2026-03-24T14:09:25.166090,2.21,23,0.27,2.18
2026-03-24T14:09:25.178075,2.2,16,0.27,2.18
2026-03-24T14:09:25.190175,2.22,24,0.27,2.18
2026-03-24T14:09:25.202024,2.18,20,0.27,2.18
2026-03-24T14:09:25.213866,2.2,22,0.28,2.18
2026-03-24T14:09:25.261795,2.17,26,0.28,2.18
2026-03-24T14:09:25.279882,2.19,23,0.28,2.17
2026-03-24T14:09:25.292166,2.21,24,0.28,2.18
2026-03-24T14:09:25.303998,2.17,22,0.28,2.17
2026-03-24T14:09:25.315960,2.2,32,0.28,2.17
2026-03-24T14:09:25.364239,2.19,23,0.28,2.17
2026-03-24T14:09:25.376253,2.21,11,0.28,2.18
2026-03-24T14:09:25.394167,2.21,19,0.28,2.18
2026-03-24T14:09:25.406113,2.21,22,0.28,2.18
2026-03-24T14:09:25.417956,2.22,20,0.28,2.18
2026-03-24T14:09:25.490199,2.22,24,0.28,2.18
2026-03-24T14:09:25.519911,2.22,19,0.28,2.18
2026-03-24T14:09:25.532248,2.21,29,0.28,2.18
2026-03-24T14:09:25.543808,2.2,24,0.29,2.18
2026-03-24T14:09:25.591704,2.23,12,0.29,2.18
2026-03-24T14:09:25.639777,2.19,34,0.31,2.17
2026-03-24T14:09:25.651641,2.17,33,0.31,2.17
2026-03-24T14:09:25.669688,2.15,13,0.31,2.17
2026-03-24T14:09:25.693743,2.19,14,0.31,2.17
2026-03-24T14:09:25.753670,2.18,19,0.31,2.17
2026-03-24T14:09:25.765694,2.19,14,0.31,2.17
2026-03-24T14:09:25.789769,2.19,24,0.31,2.17
2026-03-24T14:09:25.807668,2.19,19,0.31,2.17
2026-03-24T14:09:25.819759,2.25,19,0.31,2.18
2026-03-24T14:09:25.891670,2.22,11,0.3,2.18
2026-03-24T14:09:25.903621,2.15,25,0.31,2.17
2026-03-24T14:09:25.927649,2.22,17,0.3,2.17
2026-03-24T14:09:25.957649,2.21,32,0.31,2.17
2026-03-24T14:09:25.969827,2.2,22,0.31,2.17
2026-03-24T14:09:26.018155,2.17,10,0.3,2.17
2026-03-24T14:09:26.030248,2.19,16,0.28,2.17
2026-03-24T14:09:26.041942,2.18,26,0.28,2.17
