timestamp,distance_raw_m,angle_raw,x_m,y_m
2026-03-24T14:11:58.512156,2.27,5,0.3,2.19
2026-03-24T14:12:17.633942,2.16,47,0.44,2.15
2026-03-24T14:12:17.646158,2.18,12,0.43,2.15
2026-03-24T14:12:17.658578,2.16,36,0.43,2.15
2026-03-24T14:12:17.675883,2.2,36,0.44,2.15
2026-03-24T14:12:17.723925,2.17,43,0.44,2.15
2026-03-24T14:12:17.735813,2.21,41,0.45,2.15
2026-03-24T14:12:17.747812,2.24,50,0.46,2.15
2026-03-24T14:12:17.783915,2.24,45,0.47,2.15
2026-03-24T14:12:17.801607,2.18,40,0.48,2.14
2026-03-24T14:12:17.849849,2.19,31,0.48,2.14
2026-03-24T14:12:17.861810,2.19,37,0.49,2.14
2026-03-24T14:12:17.873772,2.19,33,0.48,2.14
2026-03-24T14:12:17.885741,2.25,37,0.49,2.14
2026-03-24T14:12:17.897774,2.26,30,0.48,2.14
2026-03-24T14:12:17.951550,2.19,33,0.48,2.14
2026-03-24T14:12:17.963711,2.19,19,0.48,2.14
2026-03-24T14:12:17.987607,2.22,49,0.49,2.14
2026-03-24T14:12:17.999737,2.21,31,0.49,2.14
2026-03-24T14:12:18.035774,2.21,31,0.49,2.14
2026-03-24T14:12:18.083732,2.15,42,0.5,2.14
2026-03-24T14:12:18.101617,2.2,30,0.49,2.14
2026-03-24T14:12:18.113832,2.16,27,0.47,2.14
2026-03-24T14:12:18.125677,2.26,37,0.49,2.14
2026-03-24T14:12:18.149696,2.22,35,0.49,2.14
2026-03-24T14:12:18.197726,2.26,28,0.49,2.14
2026-03-24T14:12:18.221759,2.23,18,0.49,2.14
2026-03-24T14:12:18.263759,2.17,19,0.49,2.14
2026-03-24T14:12:18.275771,2.17,41,0.49,2.14
2026-03-24T14:12:18.299841,2.2,41,0.49,2.14
2026-03-24T14:12:18.347699,2.17,49,0.49,2.14
2026-03-24T14:12:18.360029,2.16,27,0.49,2.14
2026-03-24T14:12:18.377927,2.19,39,0.49,2.14
2026-03-24T14:12:18.401640,2.18,30,0.49,2.14
2026-03-24T14:12:18.414301,2.2,32,0.48,2.14
2026-03-24T14:12:18.462035,2.19,33,0.46,2.14
2026-03-24T14:12:18.474142,2.21,16,0.45,2.14
