timestamp,distance_raw_m,angle_raw,x_m,y_m
2026-03-24T14:18:42.630918,2.29,33,0.48,2.24
2026-03-24T14:18:42.666946,2.13,65,0.87,1.95
2026-03-24T14:18:42.738730,2.22,67,0.94,2.01
2026-03-24T14:18:42.798619,2.23,47,0.65,2.13
2026-03-24T14:18:42.864602,2.23,69,0.97,2.01
2026-03-24T14:18:42.876725,2.33,19,0.29,2.31
2026-03-24T14:18:42.888693,2.26,37,0.53,2.2
2026-03-24T14:18:42.900653,2.24,46,0.64,2.15
2026-03-24T14:18:42.924670,2.19,69,0.95,1.98
2026-03-24T14:18:42.990722,2.2,48,0.67,2.09
2026-03-24T14:18:43.002668,2.18,32,0.44,2.13
2026-03-24T14:18:43.014702,2.23,43,0.6,2.14
2026-03-24T14:18:43.026883,2.23,20,0.28,2.21
2026-03-24T14:18:43.038712,2.19,23,0.32,2.17
2026-03-24T14:18:43.086706,2.35,10,0.16,2.35
2026-03-24T14:18:43.116774,2.34,11,0.17,2.33
2026-03-24T14:18:43.128775,2.36,14,0.21,2.35
2026-03-24T14:18:43.188564,2.43,19,0.5,2.17
2026-03-24T14:18:43.200507,2.44,68,0.56,2.17
2026-03-24T14:18:43.218672,2.2,90,0.56,2.17
2026-03-24T14:18:43.230785,2.19,86,0.56,2.17
2026-03-24T14:18:43.254713,2.14,79,0.56,2.17
2026-03-24T14:18:43.350669,2.2,50,0.56,2.17
2026-03-24T14:18:43.368696,2.27,35,0.56,2.17
2026-03-24T14:18:43.380641,2.3,15,0.51,2.18
2026-03-24T14:18:43.392757,2.28,12,0.51,2.18
2026-03-24T14:18:43.452681,2.27,-4,0.47,2.2
2026-03-24T14:18:44.520765,2.19,24,0.39,2.2
2026-03-24T14:18:44.826714,2.14,86,0.39,2.2
2026-03-24T14:18:45.042768,2.18,62,0.39,2.2
2026-03-24T14:19:26.701436,2.22,40,0.6,2.01
2026-03-24T14:19:26.713606,2.14,45,0.59,2.02
2026-03-24T14:19:26.737415,2.24,35,0.57,2.05
2026-03-24T14:19:26.761651,2.22,48,0.57,2.06
2026-03-24T14:19:26.809442,2.22,49,0.57,2.09
2026-03-24T14:19:26.827432,2.23,47,0.57,2.12
2026-03-24T14:19:26.851432,2.19,44,0.59,2.11
2026-03-24T14:19:26.875564,2.23,42,0.59,2.11
2026-03-24T14:19:26.899810,2.23,56,0.6,2.09
2026-03-24T14:19:26.977896,2.2,48,0.62,2.09
2026-03-24T14:19:33.361607,2.29,56,0.76,2.07
2026-03-24T14:19:33.379692,2.17,64,0.78,2.05
2026-03-24T14:19:33.391665,2.26,42,0.78,2.05
2026-03-24T14:19:35.593862,2.23,42,0.78,2.05
2026-03-24T14:19:38.203713,2.2,53,0.78,2.05
2026-03-24T14:19:38.239745,2.22,61,0.78,2.06
2026-03-24T14:19:38.834198,2.14,58,0.79,2.05
2026-03-24T14:19:38.894207,2.18,52,0.77,2.05
2026-03-24T14:19:39.080155,2.17,49,0.77,2.06
2026-03-24T14:19:39.092075,2.18,53,0.75,2.06
2026-03-24T14:20:01.952329,2.2,66,0.78,2.05
2026-03-24T14:20:01.970449,2.2,65,0.78,2.05
2026-03-24T14:20:02.018416,2.28,57,0.78,2.05
2026-03-24T14:20:02.030364,2.24,47,0.78,2.06
2026-03-24T14:20:02.054341,2.27,35,0.78,2.06
2026-03-24T14:20:02.066358,2.3,62,0.78,2.06
