timestamp,raw_data
2026-03-24T14:36:16.950937,"b'"": {""a16"":""503B"",""R"":22,""T"":301580,""D"":223,""P"":56,""Xcm"":76,""Ycm"":209,""O"":0,""V"":49152,""X"":0,""Y"":0,""Z"":0}}\r\n'"
2026-03-24T14:36:16.951227,"b'JS006D{""TWR"": {""a16"":""503B"",""R"":23,""T"":301619,""D"":232,""P"":34,""Xcm"":76,""Ycm"":209,""O"":0,""V"":49152,""X"":0,""Y"":0,""Z"":0}}\r\n'"
2026-03-24T14:36:16.963672,"b'JS006D{""TWR"": {""a16"":""503B"",""R"":24,""T"":301657,""D"":220,""P"":58,""Xcm"":77,""Ycm"":209,""O"":0,""V"":49152,""X"":0,""Y"":0,""Z"":JS006E{""TWR"": {""a16"":""503B"",""R"":44,""T"":470687,""D"":218,""P"":85,""Xcm"":104,""Ycm"":194,""O"":0,""V"":49152,""X"":0,""Y"":0,""Z"":0}}\r\n'"
2026-03-24T14:36:16.975627,"b'JS006E{""TWR"": {""a16"":""503B"",""R"":45,""T"":470700,""D"":221,""P"":75,""Xcm"":104,""Ycm"":194,""O"":0,""V"":49152,""X"":0,""Y"":0,""Z"":0}}\r\n'"
2026-03-24T14:36:16.987578,"b'JS006E{""TWR"": {""a16"":""503B"",""R"":46,""T"":470712,""D"":223,""P"":88,""Xcm"":104,""Ycm"":193,""O"":0,""V"":49152,""X"":0,""Y"":0,""Z"":0}}\r\n'"
2026-03-24T14:36:16.999277,"b'JS006E{""TWR"": {""a16"":""503B"",""R"":47,""T"":470725,""D"":217,""P"":66,""Xcm"":104,""Ycm"":193,""O"":0,""V"":49152,""X"":0,""Y"":0,""Z"":0}}\r\n'"
2026-03-24T14:36:17.017305,"b'JS006E{""TWR"": {""a16"":""503B"",""R"":48,""T"":470738,""D"":222,""P"":67,""Xcm"":104,""Ycm"":193,""O"":0,""V"":49152,""X"":0,""Y"":0,""Z"":0}}\r\n'"
2026-03-24T14:36:17.065307,"b'JS006E{""TWR"": {""a16"":""503B"",""R"":49,""T"":470787,""D"":223,""P"":82,""Xcm"":104,""Ycm"":193,""O"":0,""V"":49152,""X"":0,""Y"":0,""Z"":0}}\r\n'"
2026-03-24T14:36:17.077146,"b'JS006E{""TWR"": {""a16"":""503B"",""R"":50,""T"":470800,""D"":220,""P"":84,""Xcm"":105,""Ycm"":193,""O"":0,""V"":49152,""X"":0,""Y"":0,""Z"":0}}\r\n'"
2026-03-24T14:36:17.089192,"b'JS006E{""TWR"": {""a16"":""503B"",""R"":51,""T"":470813,""D"":220,""P"":79,""Xcm"":105,""Ycm"":193,""O"":0,""V"":49152,""X"":0,""Y"":0,""Z"":0}}\r\n'"
2026-03-24T14:36:17.101275,"b'JS006E{""TWR"": {""a16"":""503B"",""R"":52,""T"":470826,""D"":221,""P"":73,""Xcm"":104,""Ycm"":193,""O"":0,""V"":49152,""X"":0,""Y"":0,""Z"":0}}\r\n'"
2026-03-24T14:36:17.113203,"b'JS006E{""TWR"": {""a16"":""503B"",""R"":53,""T"":470839,""D"":223,""P"":76,""Xcm"":105,""Ycm"":193,""O"":0,""V"":49152,""X"":0,""Y"":0,""Z"":0}}\r\n'"
2026-03-24T14:36:17.167832,"b'JS006E{""TWR"": {""a16"":""503B"",""R"":54,""T"":470889,""D"":224,""P"":57,""Xcm"":104,""Ycm"":193,""O"":0,""V"":49152,""X"":0,""Y"":0,""Z"":0}}\r\n'"
2026-03-24T14:36:17.179515,"b'JS006E{""TWR"": {""a16"":""503B"",""R"":55,""T"":470902,""D"":220,""P"":81,""Xcm"":105,""Ycm"":193,""O"":0,""V"":49152,""X"":0,""Y"":0,""Z"":0}}\r\n'"
2026-03-24T14:36:17.191468,"b'JS006E{""TWR"": {""a16"":""503B"",""R"":56,""T"":470915,""D"":219,""P"":87,""Xcm"":105,""Ycm"":192,""O"":0,""V"":49152,""X"":0,""Y"":0,""Z"":0}}\r\n'"
2026-03-24T14:36:17.203687,"b'JS006E{""TWR"": {""a16"":""503B"",""R"":57,""T"":470928,""D"":218,""P"":86,""Xcm"":106,""Ycm"":192,""O"":0,""V"":49152,""X"":0,""Y"":0,""Z"":0}}\r\n'"
2026-03-24T14:36:17.215506,"b'JS006E{""TWR"": {""a16"":""503B"",""R"":58,""T"":470941,""D"":219,""P"":84,""Xcm"":106,""Ycm"":192,""O"":0,""V"":49152,""X"":0,""Y"":0,""Z"":0}}\r\n'"
2026-03-24T14:36:17.263760,"b'JS006E{""TWR"": {""a16"":""503B"",""R"":59,""T"":470990,""D"":221,""P"":81,""Xcm"":107,""Ycm"":192,""O"":0,""V"":49152,""X"":0,""Y"":0,""Z"":0}}\r\n'"
2026-03-24T14:36:17.281269,"b'JS006E{""TWR"": {""a16"":""503B"",""R"":60,""T"":471003,""D"":221,""P"":79,""Xcm"":108,""Ycm"":192,""O"":0,""V"":49152,""X"":0,""Y"":0,""Z"":0}}\r\n'"
2026-03-24T14:36:17.293670,"b'JS006E{""TWR"": {""a16"":""503B"",""R"":61,""T"":471016,""D"":226,""P"":81,""Xcm"":110,""Ycm"":192,""O"":0,""V"":49152,""X"":0,""Y"":0,""Z"":0}}\r\n'"
2026-03-24T14:36:17.305657,"b'JS006E{""TWR"": {""a16"":""503B"",""R"":62,""T"":471028,""D"":223,""P"":81,""Xcm"":112,""Ycm"":192,""O"":0,""V"":49152,""X"":0,""Y"":0,""Z"":0}}\r\n'"
2026-03-24T14:36:17.317199,"b'JS006E{""TWR"": {""a16"":""503B"",""R"":63,""T"":471042,""D"":219,""P"":67,""Xcm"":110,""Ycm"":192,""O"":0,""V"":49152,""X"":0,""Y"":0,""Z"":0}}\r\n'"
2026-03-24T14:36:17.377419,"b'JS006E{""TWR"": {""a16"":""503B"",""R"":64,""T"":471102,""D"":219,""P"":83,""Xcm"":110,""Ycm"":192,""O"":0,""V"":49152,""X"":0,""Y"":0,""Z"":0}}\r\n'"
2026-03-24T14:36:17.401387,"b'JS006E{""TWR"": {""a16"":""503B"",""R"":65,""T"":471128,""D"":223,""P"":80,""Xcm"":111,""Ycm"":192,""O"":0,""V"":49152,""X"":0,""Y"":0,""Z"":0}}\r\n'"
2026-03-24T14:36:17.419264,"b'JS006E{""TWR"": {""a16"":""503B"",""R"":66,""T"":471140,""D"":220,""P"":85,""Xcm"":112,""Ycm"":192,""O"":0,""V"":49152,""X"":0,""Y"":0,""Z"":0}}\r\n'"
