timestamp,raw_data
2026-03-24T15:16:46.062783,"b'""TWR"": {""a16"":""503B"",""R"":195,""T"":2661905,""D"":345,""P"":-6,""Xcm"":-16,""Ycm"":342,""O"":0,""V"":49152,""X"":0,""Y"":0,""Z"":0}}\r\n'"
2026-03-24T15:16:46.063129,"b'JS0071{""TWR"": {""a16"":""503B"",""R"":196,""T"":2661954,""D"":342,""P"":-10,""Xcm"":-18,""Ycm"":342,""O"":0,""V"":49152,""X"":0,""Y"":0,""Z"":0}}\r\n'"
2026-03-24T15:16:46.074874,"b'JS0071{""TWR"": {""a16"":""503B"",""R"":197,""T"":2661967,""D"":345,""P"":-16,""Xcm"":-20,""Ycm"":342,""O"":0,""V"":49152,""JS006E{""TWR"": {""a16"":""503B"",""R"":93,""T"":2899865,""D"":335,""P"":19,""Xcm"":40,""Ycm"":333,""O"":0,""V"":49152,""X"":0,""Y"":0,""Z"":0}}\r\n'"
2026-03-24T15:16:46.086770,"b'JS006E{""TWR"": {""a16"":""503B"",""R"":94,""T"":2899878,""D"":336,""P"":16,""Xcm"":40,""Ycm"":333,""O"":0,""V"":49152,""X"":0,""Y"":0,""Z"":0}}\r\n'"
2026-03-24T15:16:46.134996,"b'JS006D{""TWR"": {""a16"":""503B"",""R"":95,""T"":2899927,""D"":334,""P"":5,""Xcm"":40,""Ycm"":333,""O"":0,""V"":49152,""X"":0,""Y"":0,""Z"":0}}\r\n'"
2026-03-24T15:16:46.146986,"b'JS006E{""TWR"": {""a16"":""503B"",""R"":96,""T"":2899940,""D"":335,""P"":26,""Xcm"":40,""Ycm"":333,""O"":0,""V"":49152,""X"":0,""Y"":0,""Z"":0}}\r\n'"
2026-03-24T15:16:46.164996,"b'JS006E{""TWR"": {""a16"":""503B"",""R"":97,""T"":2899953,""D"":334,""P"":26,""Xcm"":40,""Ycm"":333,""O"":0,""V"":49152,""X"":0,""Y"":0,""Z"":0}}\r\n'"
2026-03-24T15:16:46.176997,"b'JS006E{""TWR"": {""a16"":""503B"",""R"":98,""T"":2899966,""D"":337,""P"":11,""Xcm"":40,""Ycm"":333,""O"":0,""V"":49152,""X"":0,""Y"":0,""Z"":0}}\r\n'"
2026-03-24T15:16:46.189086,"b'JS006D{""TWR"": {""a16"":""503B"",""R"":99,""T"":2899979,""D"":336,""P"":4,""Xcm"":39,""Ycm"":333,""O"":0,""V"":49152,""X"":0,""Y"":0,""Z"":0}}\r\n'"
2026-03-24T15:16:46.237256,"b'JS006F{""TWR"": {""a16"":""503B"",""R"":100,""T"":2900028,""D"":336,""P"":12,""Xcm"":39,""Ycm"":333,""O"":0,""V"":49152,""X"":0,""Y"":0,""Z"":0}}\r\n'"
