timestamp,distance_raw_m,x_m,y_m,angle_deg
2026-03-24T15:24:24.492976,343,1.95,2.88,34.10127
2026-03-24T15:24:24.541033,348,1.95,2.88,34.10127
2026-03-24T15:24:24.558804,348,1.95,2.88,34.10127
2026-03-24T15:24:24.570596,347,1.95,2.88,34.10127
2026-03-24T15:24:24.582794,349,1.95,2.88,34.10127
2026-03-24T15:24:24.595025,346,1.95,2.88,34.10127
2026-03-24T15:24:24.642826,348,1.95,2.88,34.10127
2026-03-24T15:24:24.654750,348,1.95,2.88,34.10127
2026-03-24T15:24:24.672628,349,1.95,2.88,34.10127
2026-03-24T15:24:24.684719,345,1.95,2.88,34.10127
2026-03-24T15:24:29.755503,348,1.99,2.84,35.01909
2026-03-24T15:24:29.784998,348,2.0,2.84,35.15418
2026-03-24T15:24:29.797185,348,2.0,2.84,35.15418
2026-03-24T15:24:29.808968,347,2.0,2.84,35.15418
2026-03-24T15:24:29.856693,348,2.0,2.84,35.15418
2026-03-24T15:24:29.869070,350,2.0,2.84,35.15418
2026-03-24T15:24:29.881111,351,1.99,2.84,35.01909
2026-03-24T15:24:29.899128,346,1.99,2.84,35.01909
2026-03-24T15:24:35.017270,348,2.11,2.77,37.29772
2026-03-24T15:24:35.034769,345,2.12,2.76,37.52844
2026-03-24T15:24:35.047079,348,2.12,2.76,37.52844
2026-03-24T15:24:35.059080,346,2.1,2.77,37.16659
2026-03-24T15:24:35.106981,349,2.09,2.77,37.03501
2026-03-24T15:24:35.119172,348,2.09,2.77,37.03501
2026-03-24T15:24:35.131133,351,2.09,2.77,37.03501
2026-03-24T15:24:35.149134,355,2.09,2.77,37.03501
2026-03-24T15:24:35.161110,346,2.08,2.78,36.80389
2026-03-24T15:24:35.209154,352,2.09,2.77,37.03501
2026-03-24T15:24:40.243104,347,2.01,2.83,35.38417
2026-03-24T15:24:40.254995,347,2.01,2.83,35.38417
2026-03-24T15:24:40.272933,348,2.01,2.83,35.38417
2026-03-24T15:24:40.320854,350,2.01,2.84,35.28882
2026-03-24T15:24:40.332937,349,2.01,2.83,35.38417
2026-03-24T15:24:40.344921,351,2.01,2.83,35.38417
2026-03-24T15:24:40.356920,346,2.03,2.82,35.74853
2026-03-24T15:24:40.380925,347,2.03,2.82,35.74853
2026-03-24T15:24:40.434948,347,2.03,2.82,35.74853
2026-03-24T15:24:40.447230,348,2.04,2.81,35.97885
2026-03-24T15:24:45.468927,352,1.96,2.87,34.33022
2026-03-24T15:24:45.487079,349,1.96,2.88,34.23746
2026-03-24T15:24:45.547335,347,1.97,2.87,34.46614
2026-03-24T15:24:45.558979,352,1.97,2.88,34.37321
2026-03-24T15:24:45.570988,348,1.99,2.87,34.73666
2026-03-24T15:24:45.583321,347,1.99,2.87,34.73666
2026-03-24T15:24:45.595247,347,1.97,2.87,34.46614
2026-03-24T15:24:45.649316,346,1.97,2.87,34.46614
2026-03-24T15:24:45.661065,350,1.97,2.88,34.37321
2026-03-24T15:24:45.673129,351,1.97,2.88,34.37321
2026-03-24T15:24:50.659287,349,1.98,2.85,34.78913
2026-03-24T15:24:50.707234,348,1.98,2.85,34.78913
2026-03-24T15:24:50.725157,347,1.98,2.85,34.78913
2026-03-24T15:24:50.761068,348,2.0,2.85,35.05943
2026-03-24T15:24:50.809274,346,2.0,2.85,35.05943
2026-03-24T15:24:50.839080,349,2.0,2.85,35.05943
2026-03-24T15:24:50.850958,348,2.0,2.85,35.05943
2026-03-24T15:24:55.999196,351,2.03,2.82,35.74853
2026-03-24T15:24:56.011313,352,2.03,2.82,35.74853
2026-03-24T15:24:56.023079,354,2.02,2.83,35.51852
2026-03-24T15:24:56.035265,350,2.02,2.83,35.51852
2026-03-24T15:24:56.083561,352,2.02,2.83,35.51852
2026-03-24T15:24:56.095884,354,2.02,2.83,35.51852
2026-03-24T15:24:56.113166,352,2.02,2.83,35.51852
2026-03-24T15:24:56.137151,349,2.03,2.83,35.65242
2026-03-24T15:25:01.297295,353,2.01,2.84,35.28882
2026-03-24T15:25:01.309226,348,2.01,2.84,35.28882
2026-03-24T15:25:01.321124,347,2.01,2.84,35.28882
2026-03-24T15:25:01.381091,347,2.01,2.84,35.28882
2026-03-24T15:25:01.399430,346,2.0,2.84,35.15418
2026-03-24T15:25:01.411168,348,2.01,2.84,35.28882
2026-03-24T15:25:01.423267,347,2.01,2.84,35.28882
2026-03-24T15:25:01.435258,345,2.0,2.84,35.15418
2026-03-24T15:25:01.483031,348,2.01,2.83,35.38417
2026-03-24T15:25:06.649843,348,2.08,2.8,36.60707
2026-03-24T15:25:06.709309,350,2.1,2.78,37.06724
2026-03-24T15:25:06.823373,348,2.11,2.77,37.29772
2026-03-24T15:25:11.839319,348,1.98,2.88,34.50852
2026-03-24T15:25:11.899748,349,1.98,2.88,34.50852
2026-03-24T15:25:11.911685,345,1.96,2.88,34.23746
2026-03-24T15:25:11.923840,349,1.96,2.88,34.23746
2026-03-24T15:25:11.941863,354,1.96,2.89,34.14515
2026-03-24T15:25:11.953628,350,1.98,2.88,34.50852
2026-03-24T15:25:12.001822,351,1.96,2.89,34.14515
2026-03-24T15:25:17.035430,346,2.07,2.79,36.57303
2026-03-24T15:25:17.089528,348,2.07,2.79,36.57303
2026-03-24T15:25:17.102135,346,2.05,2.8,36.20946
2026-03-24T15:25:17.113764,343,2.04,2.8,36.07601
2026-03-24T15:25:17.125786,348,2.03,2.81,35.8451
2026-03-24T15:25:17.137747,352,2.02,2.83,35.51852
2026-03-24T15:25:17.185827,346,2.0,2.85,35.05943
2026-03-24T15:25:17.216117,344,1.99,2.86,34.83036
2026-03-24T15:25:17.227840,347,2.0,2.85,35.05943
2026-03-24T15:25:22.273465,349,2.0,2.84,35.15418
2026-03-24T15:25:22.285406,351,2.01,2.83,35.38417
2026-03-24T15:25:22.303500,348,2.0,2.84,35.15418
2026-03-24T15:25:22.327379,349,2.0,2.84,35.15418
2026-03-24T15:25:22.375601,349,1.99,2.84,35.01909
2026-03-24T15:25:22.387406,347,1.99,2.84,35.01909
2026-03-24T15:25:22.417678,349,2.01,2.83,35.38417
2026-03-24T15:25:27.499659,346,2.01,2.84,35.28882
2026-03-24T15:25:27.511465,350,2.01,2.84,35.28882
2026-03-24T15:25:27.523558,348,2.01,2.84,35.28882
2026-03-24T15:25:27.535674,351,2.01,2.84,35.28882
2026-03-24T15:25:27.589802,349,2.01,2.84,35.28882
2026-03-24T15:25:27.613622,351,2.02,2.84,35.42301
2026-03-24T15:25:27.637728,347,2.05,2.83,35.91888
2026-03-24T15:25:32.761839,343,2.03,2.81,35.8451
2026-03-24T15:25:32.785750,353,2.04,2.81,35.97885
2026-03-24T15:25:32.851557,347,2.04,2.81,35.97885
2026-03-24T15:25:32.863840,352,2.06,2.81,36.245
2026-03-24T15:25:32.875820,345,2.04,2.81,35.97885
2026-03-24T15:25:32.887626,350,2.04,2.81,35.97885
2026-03-24T15:25:32.935881,350,2.04,2.82,35.88214
2026-03-24T15:25:32.953836,348,2.05,2.82,36.01529
2026-03-24T15:25:38.035827,346,1.94,2.9,33.78116
2026-03-24T15:25:38.113836,348,1.96,2.88,34.23746
2026-03-24T15:25:38.126075,353,1.97,2.88,34.37321
2026-03-24T15:25:38.149657,350,1.98,2.87,34.60162
2026-03-24T15:25:38.204111,348,1.98,2.87,34.60162
2026-03-24T15:25:38.216127,352,1.97,2.88,34.37321
2026-03-24T15:25:38.227931,345,1.97,2.87,34.46614
